"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Riley Leonard","IND","22.4","14.3","160.1","0.9","0.3","3.1","12.7","0.0","0.6","10.1"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"Kenny Pickett","CAR","21.2","13.5","138.7","0.9","0.7","2.7","12.9","0.0","0.1","9.8"
"Nick Mullens","JAC","18.8","13.2","139.7","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Seth Henigan","IND","16.0","11.0","121.0","1.0","0.0","2.0","9.0","0.0","0.0","9.7"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","148.3","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Tyrod Taylor","GB","20.0","12.8","136.1","0.9","0.5","2.3","12.4","0.1","0.2","9.7"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Jameis Winston","NYG","21.6","13.3","153.6","1.0","1.0","2.9","12.3","0.0","0.6","9.2"
"Cade Klubnik","NYJ","18.7","11.9","124.0","0.9","0.2","1.6","7.3","0.0","0.1","9.2"
"Cole Payton","PHI","14.0","10.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Jalen Milroe","SEA","11.0","7.0","89.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Drew Allar","PIT","16.0","10.0","102.0","1.0","0.0","2.0","8.0","0.0","0.0","8.9"
"Mitchell Trubisky","TEN","22.8","13.5","135.0","0.8","0.4","2.6","4.7","0.0","0.1","8.9"
"Quinn Ewers","MIA","20.9","13.7","139.1","0.8","0.8","2.5","11.5","0.0","0.1","8.9"
"Kyle Allen","BUF","18.5","10.6","117.0","1.0","0.4","2.0","2.5","0.0","0.1","8.3"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.0","0.0","0.0","4.9"
"Will Howard","PIT","8.0","5.0","51.0","0.5","0.0","1.0","4.0","0.0","0.0","4.4"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
